year,id,fips_number,county_name,judicial_circuit,region,community_type,percent_rural,population,dui,felony,misdemeanor,dui_rate,felony_rate,misdemeanor_rate
1978,1,1.0,Adams,8,Central,Mostly Urban,32.6,71600,,214.0,356.0,,298.9,497.2
1978,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12200,,100.0,308.0,,819.7,2524.6
1978,3,5.0,Bond,3,Southern,Mostly Rural,60.7,15700,,48.0,165.0,,305.7,1051.0
1978,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,28700,,82.0,472.0,,285.7,1644.6
1978,5,9.0,Brown,8,Central,Mostly Urban,41.1,5400,,38.0,59.0,,703.7,1092.6
1978,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38600,,97.0,339.0,,251.3,878.2
1978,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5700,,20.0,74.0,,350.9,1298.2
1978,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19300,,39.0,157.0,,202.1,813.5
1978,9,17.0,Cass,8,Central,Mostly Rural,52.1,14800,,34.0,217.0,,229.7,1466.2
1978,10,19.0,Champaign,6,Central,Mostly Urban,12.7,171500,,741.0,700.0,,432.1,408.2
1978,11,21.0,Christian,4,Central,Mostly Urban,43.5,37300,,115.0,262.0,,308.3,702.4
1978,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16600,,44.0,289.0,,265.1,1741.0
1978,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15200,,58.0,157.0,,381.6,1032.9
1978,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,31500,,59.0,312.0,,187.3,990.5
1978,15,29.0,Coles,5,Central,Mostly Urban,24.3,52200,,190.0,470.0,,364.0,900.4
1978,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5340700,,13364.0,340531.0,,250.2,6376.1
1978,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,20900,,81.0,206.0,,387.6,985.6
1978,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,11000,,17.0,155.0,,154.5,1409.1
1978,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,72900,,103.0,1160.0,,141.3,1591.2
1978,20,39.0,De Witt,6,Central,Mostly Urban,48.8,18100,,88.0,164.0,,486.2,906.1
1978,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19900,,71.0,134.0,,356.8,673.4
1978,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,621500,,2149.0,5650.0,,345.8,909.1
1978,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21500,,73.0,192.0,,339.5,893.0
1978,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7800,,28.0,113.0,,359.0,1448.7
1978,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,29900,,137.0,601.0,,458.2,2010.0
1978,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22000,,88.0,167.0,,400.0,759.1
1978,27,53.0,Ford,11,Central,Mostly Urban,41.8,15200,,64.0,125.0,,421.1,822.4
1978,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,42800,,141.0,453.0,,329.4,1058.4
1978,29,57.0,Fulton,9,Central,Mostly Rural,60.0,44100,,151.0,341.0,,342.4,773.2
1978,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7600,,27.0,97.0,,355.3,1276.3
1978,31,61.0,Greene,7,Central,Mostly Rural,70.8,16900,,51.0,100.0,,301.8,591.7
1978,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30400,,74.0,498.0,,243.4,1638.2
1978,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9200,,32.0,126.0,,347.8,1369.6
1978,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23500,,52.0,175.0,,221.3,744.7
1978,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5400,,34.0,69.0,,629.6,1277.8
1978,36,71.0,Henderson,9,Central,Mostly Rural,99.7,8900,,34.0,134.0,,382.0,1505.6
1978,37,73.0,Henry,14,Central,Mostly Rural,50.3,57400,,119.0,449.0,,207.3,782.2
1978,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33700,,97.0,435.0,,287.8,1290.8
1978,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,61000,,162.0,215.0,,265.6,352.5
1978,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11200,,33.0,75.0,,294.6,669.6
1978,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,35500,,174.0,295.0,,490.1,831.0
1978,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20100,,64.0,301.0,,318.4,1497.5
1978,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23200,,135.0,286.0,,581.9,1232.8
1978,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9500,,44.0,188.0,,463.2,1978.9
1978,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,276200,,1344.0,5248.0,,486.6,1900.1
1978,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,103000,,334.0,986.0,,324.3,957.3
1978,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,34900,,63.0,268.0,,180.5,767.9
1978,48,95.0,Knox,9,Central,Mostly Urban,24.3,62000,,179.0,742.0,,288.7,1196.8
1978,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,434000,,1234.0,3201.0,,284.3,737.6
1978,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,109800,,241.0,1068.0,,219.5,972.7
1978,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,17900,,33.0,156.0,,184.4,871.5
1978,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,37000,,151.0,794.0,,408.1,2145.9
1978,53,105.0,Livingston,11,Central,Mostly Urban,40.8,42000,,274.0,815.0,,652.4,1940.5
1978,54,107.0,Logan,11,Central,Mostly Urban,39.9,32600,,99.0,269.0,,303.7,825.2
1978,55,109.0,McDonough,9,Central,Mostly Urban,29.5,38700,,101.0,542.0,,261.0,1400.5
1978,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,138200,,278.0,2812.0,,201.2,2034.7
1978,57,113.0,McLean,11,Central,Mostly Urban,16.5,117500,,459.0,1565.0,,390.6,1331.9
1978,58,115.0,Macon,6,Central,Mostly Urban,15.3,132400,,728.0,1745.0,,549.8,1318.0
1978,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48600,,113.0,277.0,,232.5,570.0
1978,60,119.0,Madison,3,Southern,Mostly Urban,13.3,250600,,607.0,2324.0,,242.2,927.4
1978,61,121.0,Marion,4,Southern,Mostly Urban,45.1,42700,,158.0,616.0,,370.0,1442.6
1978,62,123.0,Marshall,10,Central,Completely Rural,100.0,13700,,21.0,131.0,,153.3,956.2
1978,63,125.0,Mason,8,Central,Mostly Rural,77.5,19800,,79.0,418.0,,399.0,2111.1
1978,64,127.0,Massac,1,Southern,Mostly Rural,50.5,14700,,74.0,269.0,,503.4,1829.9
1978,65,129.0,Menard,8,Central,Mostly Rural,75.7,11400,,45.0,97.0,,394.7,850.9
1978,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19000,,56.0,146.0,,294.7,768.4
1978,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,19800,,45.0,191.0,,227.3,964.6
1978,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,32200,,84.0,434.0,,260.9,1347.8
1978,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37800,,129.0,304.0,,341.3,804.2
1978,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,13900,,43.0,125.0,,309.4,899.3
1978,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,45900,,145.0,716.0,,315.9,1559.9
1978,72,143.0,Peoria,10,Central,Mostly Urban,14.6,200700,,972.0,2814.0,,484.3,1402.1
1978,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21800,,44.0,126.0,,201.8,578.0
1978,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16500,,47.0,223.0,,284.8,1351.5
1978,75,149.0,Pike,8,Central,Mostly Rural,72.3,19100,,46.0,348.0,,240.8,1822.0
1978,76,151.0,Pope,1,Southern,Completely Rural,100.0,4500,,17.0,103.0,,377.8,2288.9
1978,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,9200,,78.0,164.0,,847.8,1782.6
1978,78,155.0,Putnam,10,Central,Completely Rural,100.0,5800,,11.0,48.0,,189.7,827.6
1978,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,34900,,104.0,285.0,,298.0,816.6
1978,80,159.0,Richland,2,Southern,Mostly Urban,43.5,17700,,81.0,430.0,,457.6,2429.4
1978,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,167200,,913.0,2544.0,,546.1,1521.5
1978,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,271800,,769.0,3891.0,,282.9,1431.6
1978,83,165.0,Saline,1,Southern,Mostly Urban,43.7,27200,,93.0,139.0,,341.9,511.0
1978,84,167.0,Sangamon,7,Central,Mostly Urban,14.1,176500,,584.0,2086.0,,330.9,1181.9
1978,85,169.0,Schuyler,8,Central,Mostly Rural,57.6,8200,,10.0,69.0,,122.0,841.5
1978,86,171.0,Scott,7,Central,Completely Rural,100.0,6100,,12.0,42.0,,196.7,688.5
1978,87,173.0,Shelby,4,Central,Mostly Rural,77.7,23500,,33.0,180.0,,140.4,766.0
1978,88,175.0,Stark,10,Central,Completely Rural,100.0,7200,,11.0,60.0,,152.8,833.3
1978,89,177.0,Stephenson,15,Northern - Other,Mostly Urban,40.1,48700,,269.0,693.0,,552.4,1423.0
1978,90,179.0,Tazewell,10,Central,Mostly Urban,20.4,130000,,233.0,269.0,,179.2,206.9
1978,91,181.0,Union,1,Southern,Mostly Rural,65.9,16800,,85.0,102.0,,506.0,607.1
1978,92,183.0,Vermilion,5,Central,Mostly Urban,31.3,97800,,372.0,942.0,,380.4,963.2
1978,93,185.0,Wabash,2,Southern,Mostly Urban,38.9,13700,,39.0,421.0,,284.7,3073.0
1978,94,187.0,Warren,9,Central,Mostly Urban,45.5,22300,,85.0,339.0,,381.2,1520.2
1978,95,189.0,Washington,20,Southern,Mostly Rural,73.6,14600,,25.0,42.0,,171.2,287.7
1978,96,191.0,Wayne,2,Southern,Mostly Rural,69.9,17700,,27.0,123.0,,152.5,694.9
1978,97,193.0,White,2,Southern,Mostly Rural,62.0,17400,,100.0,209.0,,574.7,1201.1
1978,98,195.0,Whiteside,14,Northern - Other,Mostly Urban,37.3,65000,,160.0,993.0,,246.2,1527.7
1978,99,197.0,Will,12,Northern - Collar,Mostly Urban,3.9,313200,,666.0,2240.0,,212.6,715.2
1978,100,199.0,Williamson,1,Southern,Mostly Urban,34.8,55500,,191.0,894.0,,344.1,1610.8
1978,101,201.0,Winnebago,17,Northern - Other,Mostly Urban,7.9,247400,,1101.0,4818.0,,445.0,1947.5
1978,102,203.0,Woodford,11,Central,Mostly Rural,54.9,32000,,179.0,403.0,,559.4,1259.4
1979,1,1.0,Adams,8,Central,Mostly Urban,32.6,71300,,257.0,396.0,,360.4,555.4
1979,2,3.0,Alexander,1,Southern,Mostly Rural,61.9,12300,,152.0,323.0,,1235.8,2626.0
1979,3,5.0,Bond,3,Southern,Mostly Rural,60.7,16200,,51.0,145.0,,314.8,895.1
1979,4,7.0,Boone,17,Northern - Other,Mostly Urban,19.4,29200,,95.0,412.0,,325.3,1411.0
1979,5,9.0,Brown,8,Central,Mostly Urban,41.1,5500,,37.0,106.0,,672.7,1927.3
1979,6,11.0,Bureau,13,Central,Mostly Rural,57.4,38500,,123.0,397.0,,319.5,1031.2
1979,7,13.0,Calhoun,8,Southern,Completely Rural,100.0,5800,,23.0,89.0,,396.6,1534.5
1979,8,15.0,Carroll,15,Northern - Other,Mostly Rural,81.9,19100,,42.0,179.0,,219.9,937.2
1979,9,17.0,Cass,8,Central,Mostly Rural,52.1,14500,,42.0,256.0,,289.7,1765.5
1979,10,19.0,Champaign,6,Central,Mostly Urban,12.7,168000,,709.0,757.0,,422.0,450.6
1979,11,21.0,Christian,4,Central,Mostly Urban,43.5,36500,,124.0,238.0,,339.7,652.1
1979,12,23.0,Clark,5,Southern,Mostly Rural,59.5,16600,,52.0,223.0,,313.3,1343.4
1979,13,25.0,Clay,4,Southern,Mostly Rural,64.7,15500,,89.0,185.0,,574.2,1193.5
1979,14,27.0,Clinton,4,Southern,Mostly Urban,48.8,32100,,56.0,289.0,,174.5,900.3
1979,15,29.0,Coles,5,Central,Mostly Urban,24.3,52800,,191.0,488.0,,361.7,924.2
1979,16,31.0,Cook,co,Northern - Cook,Completely Urban,0.0,5287100,,14954.0,381394.0,,282.8,7213.7
1979,17,33.0,Crawford,2,Southern,Mostly Rural,60.2,21000,,37.0,238.0,,176.2,1133.3
1979,18,35.0,Cumberland,5,Southern,Completely Rural,100.0,10900,,30.0,158.0,,275.2,1449.5
1979,19,37.0,DeKalb,23,Northern - Other,Mostly Urban,20.3,74000,,96.0,1235.0,,129.7,1668.9
1979,20,39.0,De Witt,6,Central,Mostly Urban,48.8,18100,,70.0,296.0,,386.7,1635.4
1979,21,41.0,Douglas,6,Central,Mostly Rural,61.6,19800,,52.0,170.0,,262.6,858.6
1979,22,43.0,DuPage,18,Northern - Collar,Completely Urban,0.0,636600,,2169.0,6540.0,,340.7,1027.3
1979,23,45.0,Edgar,5,Central,Mostly Rural,51.8,21800,,110.0,201.0,,504.6,922.0
1979,24,47.0,Edwards,2,Southern,Completely Rural,100.0,7900,,58.0,218.0,,734.2,2759.5
1979,25,49.0,Effingham,4,Southern,Mostly Rural,59.7,30400,,110.0,654.0,,361.8,2151.3
1979,26,51.0,Fayette,4,Southern,Mostly Rural,67.0,22000,,79.0,223.0,,359.1,1013.6
1979,27,53.0,Ford,11,Central,Mostly Urban,41.8,15300,,68.0,149.0,,444.4,973.9
1979,28,55.0,Franklin,2,Southern,Mostly Urban,48.6,42700,,156.0,447.0,,365.3,1046.8
1979,29,57.0,Fulton,9,Central,Mostly Rural,60.0,43600,,101.0,442.0,,231.7,1013.8
1979,30,59.0,Gallatin,2,Southern,Completely Rural,100.0,7800,,33.0,154.0,,423.1,1974.4
1979,31,61.0,Greene,7,Central,Mostly Rural,70.8,16800,,48.0,146.0,,285.7,869.0
1979,32,63.0,Grundy,13,Northern - Other,Mostly Urban,24.4,30500,,96.0,807.0,,314.8,2645.9
1979,33,65.0,Hamilton,2,Southern,Mostly Rural,68.1,9400,,48.0,165.0,,510.6,1755.3
1979,34,67.0,Hancock,9,Central,Mostly Rural,71.0,23800,,69.0,154.0,,289.9,647.1
1979,35,69.0,Hardin,2,Southern,Completely Rural,100.0,5500,,38.0,64.0,,690.9,1163.6
1979,36,71.0,Henderson,9,Central,Mostly Rural,99.7,9100,,40.0,171.0,,439.6,1879.1
1979,37,73.0,Henry,14,Central,Mostly Rural,50.3,58100,,143.0,429.0,,246.1,738.4
1979,38,75.0,Iroquois,21,Central,Mostly Rural,71.7,33400,,110.0,440.0,,329.3,1317.4
1979,39,77.0,Jackson,1,Southern,Mostly Urban,37.2,61200,,206.0,281.0,,336.6,459.2
1979,40,79.0,Jasper,4,Southern,Mostly Rural,69.9,11300,,31.0,65.0,,274.3,575.2
1979,41,81.0,Jefferson,2,Southern,Mostly Rural,58.8,35900,,203.0,278.0,,565.5,774.4
1979,42,83.0,Jersey,7,Southern,Mostly Rural,60.6,20400,,74.0,330.0,,362.7,1617.6
1979,43,85.0,Jo Daviess,15,Northern - Other,Mostly Rural,72.6,23500,,111.0,268.0,,472.3,1140.4
1979,44,87.0,Johnson,1,Southern,Completely Rural,100.0,9900,,60.0,184.0,,606.1,1858.6
1979,45,89.0,Kane,16,Northern - Collar,Mostly Urban,3.6,277000,,1243.0,5377.0,,448.7,1941.2
1979,46,91.0,Kankakee,21,Central,Mostly Urban,24.5,104200,,306.0,955.0,,293.7,916.5
1979,47,93.0,Kendall,23,Northern - Other,Mostly Urban,10.4,36600,,45.0,298.0,,123.0,814.2
1979,48,95.0,Knox,9,Central,Mostly Urban,24.3,61700,,174.0,1003.0,,282.0,1625.6
1979,49,97.0,Lake,19,Northern - Collar,Mostly Urban,1.3,440700,,1236.0,2655.0,,280.5,602.5
1979,50,99.0,LaSalle,13,Northern - Other,Mostly Urban,30.2,108800,,318.0,1506.0,,292.3,1384.2
1979,51,101.0,Lawrence,2,Southern,Mostly Rural,58.0,17800,,37.0,170.0,,207.9,955.1
1979,52,103.0,Lee,15,Northern - Other,Mostly Rural,53.2,36500,,154.0,933.0,,421.9,2556.2
1979,53,105.0,Livingston,11,Central,Mostly Urban,40.8,41500,,252.0,918.0,,607.2,2212.0
1979,54,107.0,Logan,11,Central,Mostly Urban,39.9,31600,,69.0,268.0,,218.4,848.1
1979,55,109.0,McDonough,9,Central,Mostly Urban,29.5,37200,,87.0,455.0,,233.9,1223.1
1979,56,111.0,McHenry,22,Northern - Collar,Mostly Urban,9.9,143600,,602.0,2022.0,,419.2,1408.1
1979,57,113.0,McLean,11,Central,Mostly Urban,16.5,118200,,580.0,1837.0,,490.7,1554.1
1979,58,115.0,Macon,6,Central,Mostly Urban,15.3,132400,,719.0,1834.0,,543.1,1385.2
1979,59,117.0,Macoupin,7,Central,Mostly Rural,58.5,48500,,132.0,332.0,,272.2,684.5
1979,60,119.0,Madison,3,Southern,Mostly Urban,13.3,251500,,722.0,3084.0,,287.1,1226.2
1979,61,121.0,Marion,4,Southern,Mostly Urban,45.1,44000,,215.0,650.0,,488.6,1477.3
1979,62,123.0,Marshall,10,Central,Completely Rural,100.0,13900,,40.0,156.0,,287.8,1122.3
1979,63,125.0,Mason,8,Central,Mostly Rural,77.5,19500,,97.0,497.0,,497.4,2548.7
1979,64,127.0,Massac,1,Southern,Mostly Rural,50.5,15200,,119.0,201.0,,782.9,1322.4
1979,65,129.0,Menard,8,Central,Mostly Rural,75.7,11300,,39.0,89.0,,345.1,787.6
1979,66,131.0,Mercer,14,Central,Mostly Rural,77.8,19600,,60.0,169.0,,306.1,862.2
1979,67,133.0,Monroe,20,Southern,Mostly Urban,41.4,19800,,47.0,175.0,,237.4,883.8
1979,68,135.0,Montgomery,4,Central,Mostly Urban,41.6,31800,,103.0,450.0,,323.9,1415.1
1979,69,137.0,Morgan,7,Central,Mostly Urban,36.2,37300,,136.0,367.0,,364.6,983.9
1979,70,139.0,Moultrie,6,Central,Mostly Rural,69.2,14600,,69.0,155.0,,472.6,1061.6
1979,71,141.0,Ogle,15,Northern - Other,Mostly Urban,47.1,46300,,138.0,676.0,,298.1,1460.0
1979,72,143.0,Peoria,10,Central,Mostly Urban,14.6,200400,,1077.0,2782.0,,537.4,1388.2
1979,73,145.0,Perry,20,Southern,Mostly Urban,43.6,21700,,114.0,200.0,,525.3,921.7
1979,74,147.0,Piatt,6,Central,Mostly Rural,67.7,16500,,82.0,214.0,,497.0,1297.0
1979,75,149.0,Pike,8,Central,Mostly Rural,72.3,18900,,52.0,245.0,,275.1,1296.3
1979,76,151.0,Pope,1,Southern,Completely Rural,100.0,4600,,29.0,82.0,,630.4,1782.6
1979,77,153.0,Pulaski,1,Southern,Completely Rural,100.0,9300,,82.0,182.0,,881.7,1957.0
1979,78,155.0,Putnam,10,Central,Completely Rural,100.0,6000,,22.0,17.0,,366.7,283.3
1979,79,157.0,Randolph,20,Southern,Mostly Urban,42.6,35200,,90.0,238.0,,255.7,676.1
1979,80,159.0,Richland,2,Southern,Mostly Urban,43.5,18000,,106.0,521.0,,588.9,2894.4
1979,81,161.0,Rock Island,14,Central,Mostly Urban,10.9,166300,,890.0,3288.0,,535.2,1977.1
1979,82,163.0,St. Clair,20,Southern,Mostly Urban,9.8,271700,,921.0,4101.0,,339.0,1509.4
